Entered 8
Actualized 113 0812345679
Rejected 206 081234569
Rejected 210 081234576
Rejected 115 081234579
Rejected 205 08123459
Rejected 209 08123465
Rejected 210 081234675
Rejected 115 081234679
Rejected 209 08123469
Rejected 204 0812347
Rejected 204 0812349
Rejected 208 0812354
Rejected 209 08123564
Rejected 210 081235674
Rejected 115 081235679
Rejected 209 08123569
Rejected 113 0812357
Rejected 208 0812359
Rejected 203 081236
Rejected 203 081237
Rejected 203 081239
Rejected 207 081243
Rejected 208 0812453
Rejected 209 08124563
Rejected 210 081245673
Rejected 115 081245679
Rejected 209 08124569
Rejected 113 0812457
Rejected 208 0812459
Rejected 212 0812463
Rejected 212 0812465
Rejected 113 0812467
Rejected 212 0812469
Rejected 207 081247
Rejected 207 081249
Rejected 202 08125
Rejected 202 08126
Rejected 202 08127
Rejected 202 08129
Rejected 206 08132
Rejected 207 081342
Rejected 208 0813452
Rejected 209 08134562
Rejected 210 081345672
Rejected 115 081345679
Rejected 209 08134569
Rejected 113 0813457
Rejected 208 0813459
Rejected 212 0813462
Rejected 212 0813465
Rejected 113 0813467
Rejected 212 0813469
Rejected 207 081347
Rejected 207 081349
Rejected 211 081352
Rejected 211 081354
Rejected 212 0813562
Rejected 212 0813564
Rejected 113 0813567
Rejected 212 0813569
Rejected 116 081357
Rejected 211 081359
Rejected 206 08136
Rejected 206 08137
Rejected 206 08139
Rejected 201 0814
Rejected 201 0815
Rejected 201 0816
Rejected 201 0817
Rejected 201 0819
Rejected 200 082
Rejected 200 083
Rejected 200 084
Rejected 200 085
Rejected 200 086
Rejected 200 087
Rejected 212 0891234567
Rejected 115 089123457
Rejected 114 08912346
Rejected 209 08912347
Rejected 113 0891235
Rejected 208 0891236
Rejected 208 0891237
Rejected 212 0891243
Rejected 113 0891245
Rejected 117 0891246
Rejected 212 0891247
Rejected 207 089125
Rejected 207 089126
Rejected 207 089127
Rejected 211 089132
Rejected 212 0891342
Rejected 113 0891345
Rejected 117 0891346
Rejected 212 0891347
Rejected 116 089135
Rejected 211 089136
Rejected 211 089137
Rejected 206 08914
Rejected 206 08915
Rejected 206 08916
Rejected 206 08917
Rejected 201 0892
Rejected 201 0893
Rejected 201 0894
Rejected 201 0895
Rejected 201 0896
Rejected 201 0897
Entered 9
Actualized 117 0912345678
Rejected 215 0912345687
Rejected 214 091234576
Rejected 215 0912345786
Rejected 209 09123458
Rejected 213 09123465
Rejected 214 091234675
Rejected 215 0912346785
Rejected 118 09123468
Rejected 208 0912347
Rejected 208 0912348
Rejected 212 0912354
Rejected 213 09123564
Rejected 214 091235674
Rejected 215 0912356784
Rejected 118 09123568
Rejected 117 0912357
Rejected 212 0912358
Rejected 207 091236
Rejected 207 091237
Rejected 207 091238
Rejected 211 091243
Rejected 212 0912453
Rejected 213 09124563
Rejected 214 091245673
Rejected 215 0912456783
Rejected 118 09124568
Rejected 117 0912457
Rejected 212 0912458
Rejected 216 0912463
Rejected 216 0912465
Rejected 117 0912467
Rejected 121 0912468
Rejected 211 091247
Rejected 211 091248
Rejected 206 09125
Rejected 206 09126
Rejected 205 0914
Rejected 205 0915
Rejected 205 0916
Rejected 205 0917
Rejected 205 0918
Rejected 200 092
Rejected 200 093
Rejected 200 094
Rejected 200 095
Rejected 200 096
Rejected 200 097
Rejected 200 098
